imageName X Y Z Omega Phi Kappa X_sigma Y_sigma Z_sigma Omega_sigma Phi_sigma Kappa_sigma
DSCF2095_1471837627895.JPG -47.589898 -112.967840 14.563259 0.372899 5.563224 -87.087730 0.064740 0.066129 0.022104 0.023724 0.021497 0.012215
DSCF2096_1471837627895.JPG -47.266448 -69.705102 13.656372 0.584250 2.427601 -86.335806 0.048643 0.053995 0.017705 0.018928 0.018332 0.011242
DSCF2097_1471837627895.JPG -45.762437 -28.239167 14.304658 -0.179759 0.019750 -88.817709 0.046390 0.047824 0.017492 0.017488 0.016987 0.011191
DSCF2098_1471837627895.JPG -44.565271 17.775985 14.067157 -0.985902 0.030544 -85.832167 0.045069 0.042397 0.017105 0.017424 0.016644 0.011173
DSCF2099_1471837627895.JPG -45.987830 61.560791 16.416270 -2.628044 4.364595 -84.790066 0.042412 0.037379 0.015416 0.018774 0.016856 0.011379
DSCF2100_1471837627895.JPG -48.051967 107.859106 18.775050 -4.793824 -0.358415 -82.781685 0.045271 0.037774 0.017287 0.021018 0.016298 0.011418
DSCF2101_1471837627895.JPG -50.237360 151.784161 17.689699 -4.746575 3.780450 -88.120440 0.047622 0.045551 0.026400 0.024379 0.018192 0.011836
DSCF2113_1471837627895.JPG 90.701859 111.442276 14.204265 8.772210 18.921334 55.743559 0.066053 0.055801 0.030837 0.018514 0.020010 0.017091
DSCF2114_1471837627895.JPG 69.854204 52.270523 14.745816 -0.766717 18.474911 83.124288 0.048880 0.047465 0.024456 0.017218 0.014578 0.014033
DSCF2115_1471837627895.JPG 65.120354 -13.741446 15.477564 -3.740045 11.246366 96.090933 0.053059 0.060285 0.027457 0.018836 0.015279 0.012590
DSCF2116_1471837627895.JPG 71.385659 -82.633509 16.241369 -2.480558 2.302424 100.442207 0.065653 0.073899 0.025283 0.023242 0.018903 0.012385
DSCF2166_1471837627895.JPG 31.548220 100.017777 18.225632 9.226626 7.632804 67.138191 0.059338 0.053104 0.022604 0.020934 0.019426 0.013338
DSCF2167_1471837627895.JPG 11.525764 32.646476 19.283961 6.745241 16.764800 82.824701 0.046870 0.043291 0.022514 0.017012 0.017007 0.013988
DSCF2168_1471837627895.JPG 3.373504 -39.804152 19.293842 3.032475 13.208878 96.132557 0.047903 0.047987 0.021650 0.016803 0.016582 0.012963
DSCF2169_1471837627895.JPG 6.984648 -114.515819 18.932130 2.839176 6.491926 99.203731 0.045069 0.050574 0.019259 0.020060 0.017264 0.012353
DSCF2170_1471837627895.JPG 16.477577 -189.145473 18.614493 3.132403 -3.990582 99.780051 0.062750 0.072044 0.038178 0.028650 0.021799 0.014045
